ix,token,condition,initial_input,bot,rule_like,consistent,rule_type,categorization,edge,shade,Note
51,4T5UHIZG,A1,The active stone cause inactive stones to five sided stone.,0,1,1,vague,,constant,unstated,
52,S4APB968,A1,The active stone turns the inactive stone into a pentagon if it is not already a pentagon and turns it into a darker shade of blue.,0,1,1,true_constant,,,,
54,W0LN32CW,A1,"The active stone turns all the inactive stones into pentagons regardless of the original shape of the inactive stone, and it darkens the color of the inactive stone by one shade.",0,1,1,true_constant,,,,
55,HBWSH59L,A1,nice,1,,,,,,,
57,XYVDDA7F,A1,First I think that active stones change all the stones it comes into contact with but depends on what the shape is to how it changes. For example when it hits a six sided shape it always turns into a 5 sided shape. When it hits a 3 sided shape it always turns into a 5 sided shape. Also whatever color the inactive stone was  when it was hit always changes into a darker shade regardless of the shapes. Also whenever an active stone hits a 5 sided shape it always stays the same. ,0,1,1,true_constant,R,,,
58,WIC0A3FP,A1,"the inactive stone will become a pentagon when near a glowing stone.  In addition, it will darken a bit.",0,1,1,true_constant,,,,
70,VDAIUMT2,A1,it turns stones into pentagons,0,1,1,vague,,constant,unstated,
73,XT046PWB,A1,"They affect the colors of the other stones, making them become darker, and they also affect their shape, making the three and six sided stones become five sided ones.",0,1,1,vague,,constant,general,
77,30P8LBBM,A1,It changes the sides of the shapes. If it is triangle it changes to four sides called square,0,1,0,incompatible,,,,
78,5FM083TW,A1,"if the active stone hits an inactive stone, the inactive stone shade becomes 1 shade darker and turns into a hexagon  ",0,1,0,incompatible,,,,Typo
80,T4KTI029,A1,It's going to near the stone,0,0,,,,,,
81,4SFDW766,A1,Inactive hexagon converts into pentagon on activation. Triangle converts into pentagon on activation. Pentagon remains unchanged.,0,1,1,vague,R,constant,unstated,
85,GCZPFI10,A1,"When the active stone hits an inactive stone, no matter what shape it is it will make the color of the inactive stone a darker shade than before. If the inactive stone is any shape besides a pentagon, if it gets hit it will turn into a pentagon. If the inactive stone is a pentagon, it stays the same shape, but still changes to a darker color. ",0,1,1,true_constant,R,,,
87,REBQHEQU,A1,"The active stone causes the other stones to change into a pentagon shape, unless it is already a pentagon shape, in which case it makes it darker.",0,1,1,vague,R,constant,general,
90,3WHQ9BLI,A1,6,1,,,,,,,
92,C184LD02,A1,An that are awesome.,1,,,,,,,
94,0V42E6NG,A1,Active stones and inactive stones are interface,0,0,,,,,,
95,BMQ0YNY3,A1,"This active square stone will always turn the other inactive stone into a pentagon of darker shade. The shape of the inactive stone does not matter in this case. The original shade of the inactive stone determines the shade of the stone it transforms into; the lighter the original is, the lighter the resulting stone will be, although darker.",0,1,1,vague,R,constant,general,
97,MANRN28V,A1,"when the active square bumps into whatever inactive stone is next to it, it turns it into a pentagon that's a shade darker than the previous stone before it.",0,1,1,true_constant,,,,
109,L9VFETEV,A1,All stones active,0,0,,,,,,
112,UK2JKGD0,A1,"When active stone hits inactive, the color changes to next level i.e from light to medium, from medium to dark, dark to very dark. But according to shape, only pentagon does not change it's shape, other shapes changes from one to another like triangle to pentagon, hexagon to pentagon. ",0,1,1,true_constant,R,,,
127,TUBDXVFZ,A1,active stone moves to inactive stone,0,0,,,,,,
159,TVM735HS,A1,"Every time the active square hits the other object, the other object turns one shade darker in color.  It also always changes into a 5 sided pentagon",0,1,1,true_constant,,,,
161,4P1FXW49,A1,"Though ancient standing stones, stone circles, and megaliths are scattered across the world",1,,,,,,,
170,G001730C,A1,"The active stone, upon colliding with the inactive stone, will convert the number of sides of the inactive stone to n+1, where n is the number of sides of the inactive stone. In this case, the inactive stone always had 5 sides after the collision as the active stone had 4. After impact, the inactive stone will always be one shade darker than before the interaction.",0,1,1,true_relative,,,,
