"id","group","phase","trial","agent","recipient","result"
"A1-learn-01","A1","learn","1","42","31","52"
"A1-learn-02","A1","learn","2","42","32","53"
"A1-learn-03","A1","learn","3","42","63","54"
"A1-learn-04","A1","learn","4","42","51","52"
"A1-learn-05","A1","learn","5","42","62","53"
"A1-learn-06","A1","learn","6","42","53","54"
"A1-learn-07","A1","learn","7","42","43","54"
"A1-learn-08","A1","learn","8","42","52","53"
"A1-learn-09","A1","learn","9","42","33","54"
"A1-learn-10","A1","learn","10","42","41","52"
"A1-gen-01","A1","gen","1","52","72","0"
"A1-gen-02","A1","gen","2","33","72","0"
"A1-gen-03","A1","gen","3","42","72","0"
"A1-gen-04","A1","gen","4","42","42","0"
"A1-gen-05","A1","gen","5","61","42","0"
"A1-gen-06","A1","gen","6","43","42","0"
"A1-gen-07","A1","gen","7","32","42","0"
"A1-gen-08","A1","gen","8","32","61","0"
"A1-gen-09","A1","gen","9","61","72","0"
"A1-gen-10","A1","gen","10","43","72","0"
"A1-gen-11","A1","gen","11","43","61","0"
"A1-gen-12","A1","gen","12","41","42","0"
"A1-gen-13","A1","gen","13","32","72","0"
"A1-gen-14","A1","gen","14","52","61","0"
"A1-gen-15","A1","gen","15","41","61","0"
"A1-gen-16","A1","gen","16","33","61","0"
"A1-gen-17","A1","gen","17","52","42","0"
"A1-gen-18","A1","gen","18","42","61","0"
"A1-gen-19","A1","gen","19","41","72","0"
"A1-gen-20","A1","gen","20","33","42","0"
"A1-gen-21","A1","gen","21","61","61","0"
"A2-learn-01","A2","learn","1","31","42","43"
"A2-learn-02","A2","learn","2","32","42","43"
"A2-learn-03","A2","learn","3","63","42","73"
"A2-learn-04","A2","learn","4","51","42","63"
"A2-learn-05","A2","learn","5","62","42","73"
"A2-learn-06","A2","learn","6","53","42","63"
"A2-learn-07","A2","learn","7","43","42","53"
"A2-learn-08","A2","learn","8","52","42","63"
"A2-learn-09","A2","learn","9","33","42","43"
"A2-learn-10","A2","learn","10","41","42","53"
"A2-gen-01","A2","gen","1","61","52","0"
"A2-gen-02","A2","gen","2","42","52","0"
"A2-gen-03","A2","gen","3","61","33","0"
"A2-gen-04","A2","gen","4","61","43","0"
"A2-gen-05","A2","gen","5","34","41","0"
"A2-gen-06","A2","gen","6","42","43","0"
"A2-gen-07","A2","gen","7","34","61","0"
"A2-gen-08","A2","gen","8","34","43","0"
"A2-gen-09","A2","gen","9","61","41","0"
"A2-gen-10","A2","gen","10","61","61","0"
"A2-gen-11","A2","gen","11","61","32","0"
"A2-gen-12","A2","gen","12","34","33","0"
"A2-gen-13","A2","gen","13","34","32","0"
"A2-gen-14","A2","gen","14","34","42","0"
"A2-gen-15","A2","gen","15","42","42","0"
"A2-gen-16","A2","gen","16","61","42","0"
"A2-gen-17","A2","gen","17","42","61","0"
"A2-gen-18","A2","gen","18","42","41","0"
"A2-gen-19","A2","gen","19","42","32","0"
"A2-gen-20","A2","gen","20","34","52","0"
"A2-gen-21","A2","gen","21","42","33","0"
"A3-learn-01","A3","learn","1","42","31","43"
"A3-learn-02","A3","learn","2","42","32","43"
"A3-learn-03","A3","learn","3","42","63","73"
"A3-learn-04","A3","learn","4","42","51","63"
"A3-learn-05","A3","learn","5","42","62","73"
"A3-learn-06","A3","learn","6","42","53","63"
"A3-learn-07","A3","learn","7","42","43","53"
"A3-learn-08","A3","learn","8","42","52","63"
"A3-learn-09","A3","learn","9","42","33","43"
"A3-learn-10","A3","learn","10","42","41","53"
"A3-gen-01","A3","gen","1","42","42","0"
"A3-gen-02","A3","gen","2","52","61","0"
"A3-gen-03","A3","gen","3","41","72","0"
"A3-gen-04","A3","gen","4","33","72","0"
"A3-gen-05","A3","gen","5","41","42","0"
"A3-gen-06","A3","gen","6","42","72","0"
"A3-gen-07","A3","gen","7","32","61","0"
"A3-gen-08","A3","gen","8","52","72","0"
"A3-gen-09","A3","gen","9","61","72","0"
"A3-gen-10","A3","gen","10","43","72","0"
"A3-gen-11","A3","gen","11","61","61","0"
"A3-gen-12","A3","gen","12","33","42","0"
"A3-gen-13","A3","gen","13","32","72","0"
"A3-gen-14","A3","gen","14","52","42","0"
"A3-gen-15","A3","gen","15","41","61","0"
"A3-gen-16","A3","gen","16","42","61","0"
"A3-gen-17","A3","gen","17","43","42","0"
"A3-gen-18","A3","gen","18","43","61","0"
"A3-gen-19","A3","gen","19","32","42","0"
"A3-gen-20","A3","gen","20","61","42","0"
"A3-gen-21","A3","gen","21","33","61","0"
"A4-learn-01","A4","learn","1","31","42","52"
"A4-learn-02","A4","learn","2","32","42","53"
"A4-learn-03","A4","learn","3","63","42","54"
"A4-learn-04","A4","learn","4","51","42","52"
"A4-learn-05","A4","learn","5","62","42","53"
"A4-learn-06","A4","learn","6","53","42","54"
"A4-learn-07","A4","learn","7","43","42","54"
"A4-learn-08","A4","learn","8","52","42","53"
"A4-learn-09","A4","learn","9","33","42","54"
"A4-learn-10","A4","learn","10","41","42","52"
"A4-gen-01","A4","gen","1","34","43","0"
"A4-gen-02","A4","gen","2","61","61","0"
"A4-gen-03","A4","gen","3","42","32","0"
"A4-gen-04","A4","gen","4","61","32","0"
"A4-gen-05","A4","gen","5","61","42","0"
"A4-gen-06","A4","gen","6","42","52","0"
"A4-gen-07","A4","gen","7","61","43","0"
"A4-gen-08","A4","gen","8","42","33","0"
"A4-gen-09","A4","gen","9","61","33","0"
"A4-gen-10","A4","gen","10","34","41","0"
"A4-gen-11","A4","gen","11","42","41","0"
"A4-gen-12","A4","gen","12","42","61","0"
"A4-gen-13","A4","gen","13","61","41","0"
"A4-gen-14","A4","gen","14","34","42","0"
"A4-gen-15","A4","gen","15","34","52","0"
"A4-gen-16","A4","gen","16","42","43","0"
"A4-gen-17","A4","gen","17","34","33","0"
"A4-gen-18","A4","gen","18","42","42","0"
"A4-gen-19","A4","gen","19","61","52","0"
"A4-gen-20","A4","gen","20","34","61","0"
"A4-gen-21","A4","gen","21","34","32","0"
